"Code","Ethnic_group","Census_night_population_count","Census_usually_resident_population_count"
"10000","European nfd",38187,34632
"11111","New Zealand European",3025587,3013440
"12100","British nfd",16545,11607
"12111","Celtic nfd",570,558
"12112","Channel Islander",96,96
"12113","Cornish",177,165
"12114","English",79479,72204
"12116","Irish",18738,17835
"12117","Manx",120,111
"12119","Scottish",19467,18627
"12121","Welsh",5226,4971
"12199","British nec",129,123
"12211","Dutch",31884,29820
"12311","Greek",2553,2475
"12411","Polish",3108,2871
"12500","South Slav nfd",492,492
"12511","Croatian",3000,2946
"12512","Dalmatian",207,207
"12513","Macedonian",612,588
"12514","Serbian",1317,1284
"12515","Slovenian",267,228
"12516","Bosnian",165,162
"12599","South Slav nec",75,72
"12611","Italian",5886,5352
"12711","German",23925,16818
"12811","Australian",35931,29349
"12911","Albanian",258,249
"12912","Armenian",276,264
"12913","Austrian",1602,1272
"12914","Belgian",1245,888
"12915","Bulgarian",669,636
"12916","Belorussian",192,180
"12918","Cypriot nfd",81,78
"12919","Czech",2055,1740
"12920","Danish",2856,2214
"12921","Estonian",219,189
"12922","Finnish",954,783
"12923","Flemish",75,60
"12924","French",10146,7677
"12926","Hungarian",1749,1638
"12927","Icelandic",138,117
"12928","Latvian",288,261
"12929","Lithuanian",267,219
"12930","Maltese",363,336
"12931","Norwegian",1356,1131
"12932","Portuguese",1446,1365
"12933","Romanian",1548,1485
"12934","Gypsy",132,132
"12935","Russian",7989,7713
"12937","Slavic",138,126
"12938","Slovak",462,408
"12939","Spanish",3009,2733
"12940","Swedish",2517,1911
"12941","Swiss",3477,2649
"12942","Ukrainian",1341,1281
"12943","American",21048,16245
"12945","Canadian",10179,7797
"12947","New Caledonian",126,114
"12948","South African European",37833,37155
"12949","Afrikaner",798,789
"12950","Zimbabwean European",1893,1872
"12999","European nec",2061,1968
"21111","Māori",777195,775836
"30000","Pacific Peoples nfd",2775,2724
"31111","Samoan",184332,182721
"32100","Cook Islands Maori",80853,80532
"33111","Tongan",83406,82389
"34111","Niuean",30990,30867
"35111","Tokelauan",8703,8676
"36111","Fijian",19986,19722
"37112","Indigenous Australian",825,795
"37122","Hawaiian",441,429
"37124","Kiribati",3288,3225
"37130","Nauruan",135,135
"37135","Papua New Guinean",1218,1131
"37137","Pitcairn Islander",219,216
"37138","Rotuman",990,981
"37140","Tahitian",1815,1737
"37141","Solomon Islander",1092,777
"37144","Tuvaluan",4668,4653
"37145","Ni Vanuatu",2040,990
