"Code","Highest_secondary_school_qualification","Census_usually_resident_population_count_aged_15_years_and_over"
"00","No qualification",896802
"01","Level 1 certificate",590826
"02","Level 2 certificate",615882
"03","Level 3 or 4 certificate",811995
"23","Overseas secondary school qualification",623085
"94","Don't know",222
"95","Refused to answer",24
"97","Response unidentifiable",3801
"98","Response outside scope",9141
"99","Not stated",224577
"TotalStated","Total stated",3538587
"Total","Total",3776355
