"Code","Hours_worked_per_week_in_main_job","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"001","1 hour worked",5655
"002","2 hours worked",10176
"003","3 hours worked",9990
"004","4 hours worked",15234
"005","5 hours worked",20205
"006","6 hours worked",17529
"007","7 hours worked",10062
"008","8 hours worked",43569
"009","9 hours worked",11427
"010","10 hours worked",51111
"011","11 hours worked",5193
"012","12 hours worked",25263
"013","13 hours worked",5898
"014","14 hours worked",8697
"015","15 hours worked",43872
"016","16 hours worked",23928
"017","17 hours worked",5859
"018","18 hours worked",13356
"019","19 hours worked",3516
"020","20 hours worked",114681
"021","21 hours worked",6498
"022","22 hours worked",9435
"023","23 hours worked",5982
"024","24 hours worked",30969
"025","25 hours worked",50880
"026","26 hours worked",6849
"027","27 hours worked",7980
"028","28 hours worked",13455
"029","29 hours worked",2838
"030","30 hours worked",121155
"031","31 hours worked",2964
"032","32 hours worked",47964
"033","33 hours worked",5664
"034","34 hours worked",6372
"035","35 hours worked",63024
"036","36 hours worked",18915
"037","37 hours worked",26895
"038","38 hours worked",53412
"039","39 hours worked",4317
"040","40 hours worked",824832
"041","41 hours worked",5046
"042","42 hours worked",38748
"043","43 hours worked",16956
"044","44 hours worked",19725
"045","45 hours worked",175776
"046","46 hours worked",8283
"047","47 hours worked",7425
"048","48 hours worked",28677
"049","49 hours worked",2586
"050","50 hours worked",193209
"051","51 hours worked",1155
"052","52 hours worked",5064
"053","53 hours worked",1845
"054","54 hours worked",3042
"055","55 hours worked",39774
"056","56 hours worked",4161
"057","57 hours worked",1176
"058","58 hours worked",1818
"059","59 hours worked",324
"060","60 hours worked",77139
"061","61 hours worked",222
"062","62 hours worked",828
"063","63 hours worked",855
"064","64 hours worked",774
"065","65 hours worked",10914
"066","66 hours worked",678
"067","67 hours worked",309
"068","68 hours worked",636
"069","69 hours worked",165
"070","70 hours worked",18987
"071","71 hours worked",93
"072","72 hours worked",1680
"073","73 hours worked",81
"074","74 hours worked",171
"075","75 hours worked",1881
"076","76 hours worked",186
"077","77 hours worked",342
"078","78 hours worked",216
"079","79 hours worked",57
"080","80 hours worked",8637
"081","81 hours worked",72
"082","82 hours worked",222
"083","83 hours worked",69
"084","84 hours worked",2073
"085","85 hours worked",582
"086","86 hours worked",120
"087","87 hours worked",60
"088","88 hours worked",168
"089","89 hours worked",60
"090","90 hours worked",2034
"091","91 hours worked",132
"092","92 hours worked",126
"093","93 hours worked",33
"094","94 hours worked",90
"095","95 hours worked",324
"096","96 hours worked",198
"097","97 hours worked",42
"098","98 hours worked",387
"099","99 hours worked",66
"100","100 hours worked",1041
"101","101 hours worked",9
"102","102 hours worked",30
"103","103 hours worked",9
"104","104 hours worked",30
"105","105 hours worked",189
"106","106 hours worked",12
"107","107 hours worked",12
"108","108 hours worked",30
"109","109 hours worked",6
"110","110 hours worked",126
"111","111 hours worked",81
"112","112 hours worked",132
"113","113 hours worked",3
"114","114 hours worked",24
"115","115 hours worked",51
"116","116 hours worked",33
"117","117 hours worked",12
"118","118 hours worked",12
"119","119 hours worked",39
"120","120 hours worked",189
"121","121 hours worked",15
"122","122 hours worked",15
"123","123 hours worked",6
"124","124 hours worked",21
"125","125 hours worked",36
"126","126 hours worked",39
"127","127 hours worked",6
"128","128 hours worked",24
"129","129 hours worked",12
"130","130 hours worked",45
"131","131 hours worked",9
"132","132 hours worked",9
"133","133 hours worked",9
"134","134 hours worked",0
"135","135 hours worked",33
"136","136 hours worked",3
"137","137 hours worked",3
"138","138 hours worked",9
"139","139 hours worked",3
"140","140 hours worked",96
"141","141 hours worked",0
"142","142 hours worked",6
"143","143 hours worked",3
"144","144 hours worked",18
"145","145 hours worked",21
"146","146 hours worked",6
"147","147 hours worked",6
"148","148 hours worked",18
"149","149 hours worked",3
"150","150 hours worked",48
"151","151 hours worked",9
"152","152 hours worked",3
"153","153 hours worked",6
"154","154 hours worked",21
"155","155 hours worked",6
"156","156 hours worked",6
"157","157 hours worked",15
"158","158 hours worked",3
"159","159 hours worked",0
"160","160 hours worked",39
"161","161 hours worked",3
"162","162 hours worked",6
"163","163 hours worked",6
"164","164 hours worked",15
"165","165 hours worked",9
"166","166 hours worked",3
"167","167 hours worked",3
"168","168 hours worked",273
"777","Response unidentifiable",0
"999","Not stated",0
"TotalStated","Total stated",2445141
"Total","Total",2445141
