"Code","Job_search_methods","Unemployed_census_usually_resident_population_count_aged_15_years_and_over"
"1","Looked at job advertisements",127077
"2","Wrote, phoned or applied in person to an employer",71487
"3","Contacted Work and Income to look for a job",33369
"4","Contacted friends or relatives for help in finding a job",69543
"5","Contacted career advisers or vocational guidance officers",22311
"6","Other job search methods",37890
"9","Not stated",15
"TotalStated","Total stated",151017
"TotalResponse","Total responses",361674
"Total","Total",151035
