"Code","Languages_spoken","Census_usually_resident_population_count"
"01100","West Germanic not further defined",3
"01110","Afrikaans",36966
"01111","Dutch",23343
"01112","English",4482135
"01113","German",41385
"01114","Friesian",327
"01115","Yiddish",39
"01116","Scots",174
"01199","West Germanic not elsewhere classified",3210
"01200","North Germanic not further defined",3
"01210","Danish",2343
"01211","Norwegian",1245
"01212","Swedish",3330
"01213","Icelandic",153
"01299","North Germanic not elsewhere classified",15
"02100","Romance not further defined",3
"02110","French",55116
"02111","Catalan",381
"02112","Portuguese",10569
"02113","Spanish",38823
"02114","Italian",9903
"02115","Romanian",1998
"02199","Romance not elsewhere classified",585
"03110","Greek",2925
"04100","Baltic not further defined",3
"04110","Latvian",333
"04111","Lithuanian",216
"04199","Baltic not elsewhere classified",0
"04200","Slavic not further defined",78
"04210","Belorussian",75
"04211","Russian",12543
"04212","Ukrainian",1080
"04213","Bulgarian",840
"04214","Macedonian",801
"04215","Serbo-Croatian",5502
"04216","Slovene",321
"04217","Czech",2460
"04218","Polish",3114
"04219","Slovak",804
"04299","Slavic not elsewhere classified",21
"05110","Albanian",348
"06110","Armenian",168
"07100","Indo-Aryan not further defined",2289
"07110","Hindi",69471
"07111","Urdu",7824
"07112","Fiji Hindi",26805
"07113","Bengali",3468
"07114","Oriya",129
"07115","Nepalese",3261
"07116","Panjabi",34227
"07117","Sindhi",348
"07118","Kashmiri",135
"07119","Sinhala",7266
"07120","Gujarati",22200
"07121","Konkani",915
"07122","Marathi",4770
"07123","Romani",18
"07199","Indo-Aryan not elsewhere classified",720
"08100","Celtic not further defined",3
"08110","Welsh",1083
"08111","Scottish Gaelic",549
"08112","Irish",1176
"08113","Breton",3
"08199","Celtic not elsewhere classified",15
"09100","Iranian not further defined",3
"09110","Persian",7002
"09111","Kurdish",924
"09112","Pashto",1611
"09199","Iranian not elsewhere classified",36
"10100","Turko-Altaic not further defined",0
"10110","Turkish",1476
"10111","Azeri",123
"10199","Turko-Altaic not elsewhere classified",237
"11100","Uralic not further defined",0
"11110","Estonian",234
"11111","Finnish",858
"11112","Hungarian",1953
"11199","Uralic not elsewhere classified",0
"12100","Dravidian not further defined",27
"12110","Kannada",1692
"12111","Malayalam",9024
"12112","Tamil",10107
"12113","Telugu",5754
"12199","Dravidian not elsewhere classified",3
"13100","Sinitic not further defined",51501
"13110","Yue",52767
"13111","Hakka",1215
"13112","Min",5760
"13113","Northern Chinese",95253
"13114","Wu",1080
"13115","Tieu-Chow",1329
"13199","Sinitic not elsewhere classified",219
"13200","Tibeto-Lolo-Burman not further defined",18
"13210","Burmese",2325
"13211","Tibetan",120
"13299","Tibeto-Lolo-Burman not elsewhere classified",651
"14100","Mon-Khmer not further defined",0
