"Code","Number_of_bedrooms","Occupied_private_dwellings"
"01","One bedroom",102831
"02","Two bedrooms",318492
"03","Three bedrooms",723327
"04","Four bedrooms",396981
"05","Five bedrooms",97752
"06","Six bedrooms",18372
"07","Seven bedrooms",3975
"08","Eight bedrooms",1110
"09","Nine bedrooms",393
"10","Ten bedrooms",15
"11","Eleven bedrooms",12
"12","Twelve bedrooms",6
"13","Thirteen bedrooms",6
"14","Fourteen or more bedrooms",45
"77","Response unidentifiable",93
"99","Not stated",897
"TotalStated","Total stated",1663326
"Total","Total",1664313
