"Code","Occupation","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"111111","Chief Executive or Managing Director",54480
"111211","Corporate General Manager",34365
"111212","Defence Force Senior Officer",105
"111311","Local Government Legislator",909
"111312","Member of Parliament",156
"111399","Legislators nec",0
"121111","Aquaculture Farmer",405
"121211","Cotton Grower",0
"121212","Flower Grower",450
"121213","Fruit or Nut Grower",4524
"121214","Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",219
"121215","Grape Grower",1287
"121216","Mixed Crop Farmer",456
"121217","Sugar Cane Grower",0
"121218","Turf Grower",18
"121221","Vegetable Grower (Aus) / Market Gardener (NZ)",1197
"121299","Crop Farmers nec",96
"121311","Apiarist",2361
"121312","Beef Cattle Farmer",3633
"121313","Dairy Cattle Farmer",26541
"121314","Deer Farmer",375
"121315","Goat Farmer",132
"121316","Horse Breeder",237
"121317","Mixed Livestock Farmer",4707
"121318","Pig Farmer",192
"121321","Poultry Farmer",657
"121322","Sheep Farmer",5415
"121399","Livestock Farmers nec",1212
"121411","Mixed Crop and Livestock Farmer",12123
"131112","Sales and Marketing Manager",35250
"131113","Advertising Manager",441
"131114","Public Relations Manager",3756
"132111","Corporate Services Manager",17538
"132211","Finance Manager",13386
"132311","Human Resources Manager",6894
"132411","Policy and Planning Manager",30096
"132511","Research and Development Manager",2007
"133111","Construction Project Manager",9777
"133112","Project Builder",34344
"133211","Engineering Manager",2130
"133311","Importer or Exporter",1077
"133312","Wholesaler",600
"133411","Manufacturer",1392
"133511","Production Manager (Forestry)",792
"133512","Production Manager (Manufacturing)",7977
"133513","Production Manager (Mining)",414
"133611","Supply and Distribution Manager",5154
"133612","Procurement Manager",1419
"134111","Child Care Centre Manager",444
"134211","Medical Administrator (Aus) / Medical Superintendent (NZ)",2004
"134212","Nursing Clinical Director",141
"134213","Primary Health Organisation Manager",27
"134214","Welfare Centre Manager",138
"134299","Health and Welfare Services Managers nec",78
"134311","School Principal",5163
"134411","Faculty Head",225
"134412","Regional Education Manager",2136
"134499","Education Managers nec",1386
"135111","Chief Information Officer",630
"135112","ICT Project Manager",9837
"135199","ICT Managers nec",408
"139111","Commissioned Defence Force Officer",1557
"139112","Commissioned Fire Officer",147
"139113","Commissioned Police Officer",219
"139211","Senior Non-commissioned Defence Force Member",177
"139911","Arts Administrator or Manager",372
"139912","Environmental Manager",351
"139913","Laboratory Manager",600
"139914","Quality Assurance Manager",3624
"139915","Sports Administrator",1584
"139999","Specialist Managers nec",1638
"141111","Cafe or Restaurant Manager",11586
"141211","Caravan Park and Camping Ground Manager",771
"141311","Hotel or Motel Manager",5709
"141411","Licensed Club Manager",255
"141911","Bed and Breakfast Operator",1044
"141912","Retirement Village Manager",267
"141999","Accommodation and Hospitality Managers nec",2895
"142111","Retail Manager (General)",35148
"142112","Antique Dealer",111
"142113","Betting Agency Manager",21
"142114","Hair or Beauty Salon Manager",465
"142115","Post Office Manager",39
"142116","Travel Agency Manager",141
"149111","Amusement Centre Manager",75
"149112","Fitness Centre Manager",267
"149113","Sports Centre Manager",318
"149211","Call or Contact Centre Manager",375
"149212","Customer Service Manager",6003
"149311","Conference and Event Organiser",3888
"149411","Fleet Manager",519
"149412","Railway Station Manager",24
"149413","Transport Company Manager",915
"149911","Boarding Kennel or Cattery Operator",342
"149912","Cinema or Theatre Manager",282
"149913","Facilities Manager",1956
"149914","Financial Institution Branch Manager",3483
"149915","Equipment Hire Manager",204
"149999","Hospitality, Retail and Service Managers nec",390
"211111","Actor",429
"211112","Dancer or Choreographer",150
"211113","Entertainer or Variety Artist",399
"211199","Actors, Dancers and Other Entertainers nec",297
"211211","Composer",120
"211212","Music Director",123
"211213","Musician (Instrumental)",1074
"211214","Singer",69
"211299","Music Professionals nec",12
"211311","Photographer",2244
"211411","Painter (Visual Arts)",2349
"211412","Potter or Ceramic Artist",216
"211413","Sculptor",135
"211499","Visual Arts and Crafts Professionals nec",354
"212111","Artistic Director",45
"212112","Media Producer (excluding Video)",1119
"212113","Radio Presenter",441
"212114","Television Presenter",210
"212211","Author",1710
"212212","Book or Script Editor",54
"212311","Art Director (Film, Television or Stage)",153
"212312","Director (Film, Television, Radio or Stage)",561
"212313","Director of Photography",87
"212314","Film and Video Editor",588
"212315","Program Director (Television or Radio)",27
"212316","Stage Manager",51
"212317","Technical Director",534
"212318","Video Producer",327
"212399","Film, Television, Radio and Stage Directors nec",168
"212411","Copywriter",444
"212412","Newspaper or Periodical Editor",1746
"212413","Print Journalist",1197
"212414","Radio Journalist",219
"212415","Technical Writer",546
"212416","Television Journalist",219
"212499","Journalists and Other Writers nec",426
"221111","Accountant (General)",26973
"221112","Management Accountant",2295
"221113","Taxation Accountant",1323
"221211","Company Secretary",114
"221212","Corporate Treasurer",165
"221213","External Auditor",2178
"221214","Internal Auditor",951
"222111","Commodities Trader",432
"222112","Finance Broker",1569
"222113","Insurance Broker",3189
"222199","Financial Brokers nec",27
"222211","Financial Market Dealer",315
"222212","Futures Trader",27
"222213","Stockbroking Dealer",156
"222299","Financial Dealers nec",522
"222311","Financial Investment Adviser",5505
"222312","Financial Investment Manager",771
"223111","Human Resource Adviser",4536
"223112","Recruitment Consultant",4500
"223113","Workplace Relations Adviser",729
"223211","ICT Trainer",537
"223311","Training and Development Professional",2208
"224111","Actuary",456
"224112","Mathematician",123
"224113","Statistician",978
"224211","Archivist",411
"224212","Gallery or Museum Curator",459
"224213","Health Information Manager",933
"224214","Records Manager",255
"224311","Economist",546
"224411","Intelligence Officer",537
"224412","Policy Analyst",7353
"224511","Land Economist",39
"224512","Valuer",1167
"224611","Librarian",4038
"224711","Management Consultant",18195
"224712","Organisation and Methods Analyst",1464
"224911","Electorate Officer",54
"224912","Liaison Officer",555
"224913","Migration Agent",522
"224914","Patents Examiner",60
"224999","Information and Organisation Professionals nec",1413
"225111","Advertising Specialist",1665
"225112","Market Research Analyst",519
"225113","Marketing Specialist",12072
"225211","ICT Account Manager",195
"225212","ICT Business Development Manager",42
"225213","ICT Sales Representative",936
"225311","Public Relations Professional",4341
"225411","Sales Representative (Industrial Products)",81
"225412","Sales Representative (Medical and Pharmaceutical Products)",270
"225499","Technical Sales Representatives nec",4470
"231111","Aeroplane Pilot",2580
"231112","Air Traffic Controller",465
"231113","Flying Instructor",462
"231114","Helicopter Pilot",534
"231199","Air Transport Professionals nec",291
"231211","Master Fisher",540
"231212","Ship's Engineer",1374
"231213","Ship's Master",744
"231214","Ship's Officer",114
"231215","Marine Surveyor",93
"231299","Marine Transport Professionals nec",69
"232111","Architect",6453
"232112","Landscape Architect",984
"232212","Surveyor",2241
"232213","Cartographer",42
"232214","Other Spatial Scientist",18
"232311","Fashion Designer",924
"232312","Industrial Designer",1740
"232313","Jewellery Designer",129
"232411","Graphic Designer",7461
"232412","Illustrator",621
"232413","Multimedia Designer",429
"232414","Web Designer",1356
"232511","Interior Designer",1815
"232611","Urban and Regional Planner",3012
"233111","Chemical Engineer",471
"233112","Materials Engineer",129
"233211","Civil Engineer",8430
"233212","Geotechnical Engineer",726
"233213","Quantity Surveyor",3348
"233214","Structural Engineer",3657
"233215","Transport Engineer",963
"233311","Electrical Engineer",3576
"233411","Electronics Engineer",951
"233511","Industrial Engineer",840
"233512","Mechanical Engineer",12177
"233513","Production or Plant Engineer",1242
"233611","Mining Engineer (excluding Petroleum)",81
"233612","Petroleum Engineer",258
