"Code","Partnership_status_in_current_relationship","Census_usually_resident_population_count_aged_15_years_and_over"
"10","Partnered, nfd",72039
"11","Spouse",1464546
"13","De facto partner",427173
"20","Non-partnered, nfd",55602
"21","Non-partnered, separated (marriage or civil union)",74355
"22","Non-partnered, divorced or dissolved (marriage or civil union)",165777
"23","Non-partnered, widowed or surviving civil union partner",157716
"25","Non-partnered, never married and never in a civil union",779838
"99","Not stated",579309
"TotalStated","Total stated",3197043
"Total","Total",3776355
