"Code","Post-school_qualification_level_of_attainment","Census_usually_resident_population_count_aged_15_years_and_over"
"00","No post-school qualification",1689069
"03","Level 1, 2 or 3 Certificate",270279
"04","Level 4 Certificate",311910
"05","Level 5 Diploma",171999
"06","Level 6 Diploma",175029
"07","Bachelor degree and Level 7 qualification",516576
"08","Post-graduate and Honour degrees",200010
"09","Masters degree",130254
"10","Doctorate degree",29793
"33","Level not given (but subject given)",11898
"94","Don't know",177
"95","Refused to answer",27
"97","Response unidentifiable",2031
"98","Response outside scope",4194
"99","Not stated",263106
"TotalStated","Total stated",3506817
"Total","Total",3776355
